EventNumber,Energy,X,Y,Z,Px,Py,Pz,ParticleType,L1_Energy,L1_X,L1_Y,L1_Z,L1_Px,L1_Py,L1_Pz,L2_Energy,L2_X,L2_Y,L2_Z,L2_Px,L2_Py,L2_Pz
652,9094.93,0,0,9094.93,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
653,7698.5,0,0,7698.5,11,0,0,0,7690.58,3999.5,0.0624115,2000.64,7690.58,-0.521553,-5.239,7686.61,8000.0,4.92517,1994.99,7686.59,12.555,-12.8007
654,9284.83,0,0,9284.83,11,0,0,0,9274.07,3998.46,-0.0610758,2000.01,9274.07,2.22658,0.33886,9269.1,7999.35,-3.03615,1998.73,9269.1,-5.843,-0.871307
655,3924.98,0,0,3924.98,11,0,0,0,3918.6,3998.95,0.575406,2000.32,3918.59,-3.19965,3.1278,3907.18,7998.05,-3.67789,2010.0,3907.16,-6.28918,10.3025
656,4415.63,0,0,4415.63,11,0,0,0,4367.53,3998.17,0.218094,2000.67,4367.53,1.76742,2.01358,3400.66,8000.0,-1.98619,2001.92,3400.66,-6.06091,1.16795
657,18017.0,0,0,18017.0,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14806.3,8000.0,0.173766,1999.92,14806.3,8.46069,-0.252267
658,6566.16,0,0,6566.16,11,0,0,0,5982.41,3998.72,-0.292086,1999.73,5982.4,5.16418,5.38783,5359.17,7998.0,6.55725,2004.35,5359.15,12.1239,10.6605
659,7164.53,0,0,7164.53,22,0,0,0,3561.49,3999.34,8.16532e-05,2000.0,3561.49,2.0971,0.48439,3554.91,7995.07,1.26272,1998.79,3554.91,1.17942,0.669374
660,3582.99,0,0,3582.99,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
661,17710.6,0,0,17710.6,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
662,13598.0,0,0,13598.0,11,0,0,0,8181.61,3998.83,-0.0586431,1999.9,8181.61,-3.8339,0.0116227,7774.15,7999.99,-9.07277,1998.08,7774.13,-16.1276,0.977914
663,655.396,0,0,655.396,11,0,0,0,653.725,3998.64,1.2761,1994.69,653.687,-3.27973,-6.18784,648.967,7999.96,-26.6978,1923.04,648.832,-7.18099,-11.0818
664,12956.2,0,0,12956.2,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
665,1108.86,0,0,1108.86,11,0,0,0,247.243,3999.66,-3.61392,1999.93,247.234,-1.99439,0.136759,229.468,7996.32,8.82022,2013.4,229.462,0.99645,1.1919
666,5523.14,0,0,5523.14,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
667,14261.6,0,0,14261.6,11,0,0,0,12739.8,3998.11,-0.216334,1999.88,12739.8,-0.927296,-1.07117,11296.3,7996.87,0.0280082,2003.14,11296.3,3.51273,11.5373
668,16223.8,0,0,16223.8,11,0,0,0,16024.5,3998.29,0.316272,1999.9,16024.5,4.37655,0.947906,2980.48,8000.0,3.54362,2008.45,2980.47,3.10143,6.43989
669,5239.45,0,0,5239.45,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
670,10001.3,0,0,10001.3,11,0,0,0,9956.2,3998.91,0.116069,1999.98,9956.2,-0.746524,1.91148,9874.91,8000.0,-0.023739,2000.86,9874.91,0.260587,2.85807
671,12290.2,0,0,12290.2,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
672,12412.9,0,0,12412.9,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
673,14233.4,0,0,14233.4,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
674,12635.7,0,0,12635.7,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
675,13056.4,0,0,13056.4,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
676,7554.99,0,0,7554.99,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
677,4856.61,0,0,4856.61,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
678,3271.3,0,0,3271.3,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
679,16382.1,0,0,16382.1,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
680,11092.9,0,0,11092.9,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
681,1353.35,0,0,1353.35,11,0,0,0,1206.27,3999.51,3.58884,1998.03,1206.25,3.26012,-5.76941,791.798,7996.35,14.5999,1988.87,791.779,5.12249,-1.72386
682,18584.7,0,0,18584.7,11,0,0,0,18570.8,3998.58,0.11023,1999.8,18570.8,-1.05477,3.97433,18496.6,8000.0,-1.72025,1999.87,18496.6,-10.173,-1.28094
683,845.121,0,0,845.121,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
684,17419.1,0,0,17419.1,11,0,0,0,17208.5,3998.09,0.143773,1999.84,17208.5,1.09081,-2.58415,16806.0,8000.0,-0.280086,1999.51,16806.0,-0.405578,-4.9175
685,1723.29,0,0,1723.29,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
686,19622.2,0,0,19622.2,22,0,0,0,10030.9,4000.0,3.6964e-05,2000.0,10030.9,0.74181,-2.55222,9323.12,7999.42,-1.71771,2002.07,9323.12,-2.06086,7.37628
687,10180.3,0,0,10180.3,11,0,0,0,10179.2,3998.09,-0.124866,1999.76,10179.2,-0.556657,-0.496943,9313.43,7996.13,-3.61526,1998.21,9313.43,-8.0062,-2.37548
